"PlotCode","PanelCode","inv_cov_1","inv_cov_2","inv_cov_3","inv_cov_4","numspp_1","numspp_2","numspp_3","numspp_4"
4,"1",0,0,0,0,0,0,0,0
7,"1",0.0166666666666667,0.141666666666667,0.00833333333333333,0,1,1,1,4
9,"1",0.125,0.0166666666666667,0,0,1,1,2,0
10,"1",0.625,0.158333333333333,0.166666666666667,0.05,1,1,2,1
11,"1",2.73333333333333,0.0833333333333333,0.191666666666667,0.0833333333333333,1,2,2,4
12,"1",1.21666666666667,0.0333333333333333,0.116666666666667,0.075,1,2,4,4
71,"1",0,0,0,0,0,0,0,0
98,"2",0.00833333333333333,0.183333333333333,0.0833333333333333,4.18333333333333,1,3,4,4
99,"2",0.525,0.916666666666667,0.766666666666667,1.96666666666667,2,3,4,4
100,"2",17.4666666666667,41.05,56.75,61.2666666666667,4,5,3,5
101,"2",0.0833333333333333,1.025,0.108333333333333,0.0916666666666667,2,3,4,3
102,"2",0.241666666666667,5.5,10.9833333333333,4.16666666666667,2,5,5,3
107,"2",0.2,0.625,0.208333333333333,0.0833333333333333,1,3,3,3
108,"2",0.308333333333333,1.225,0.0416666666666667,0.05,2,3,4,3
176,"3",0.0416666666666667,0,0,0,1,0,0,1
177,"3",19.4083333333333,32.5083333333333,36.3416666666667,47.4333333333333,3,4,3,4
178,"3",0.85,0.416666666666667,0.433333333333333,0.116666666666667,3,5,4,5
179,"3",0.05,0.0666666666666667,0.0583333333333333,0.05,1,1,2,2
183,"3",5.6,52.2666666666667,31.6916666666667,36.525,6,6,6,6
184,"3",0.025,1.94166666666667,3.59166666666667,13.5833333333333,4,4,5,8
187,"3",0.00833333333333333,0,0.00833333333333333,0.00833333333333333,1,1,1,2
262,"4",0.00833333333333333,0.0166666666666667,0,0,1,2,0,2
263,"4",0.125,0.0166666666666667,0.025,0.141666666666667,1,1,1,3
264,"4",0.441666666666667,2.225,0.583333333333333,0.241666666666667,1,3,4,6
265,"4",0.683333333333333,1.39166666666667,0.35,0.775,1,4,3,5
266,"4",19.2,31.1916666666667,37.575,8.73333333333333,5,4,5,6
267,"4",0.491666666666667,0.6,0.216666666666667,0.116666666666667,3,4,3,5
268,"4",40.8833333333333,75.9666666666667,28.8166666666667,28.2833333333333,6,5,5,5
