"PlotCode","PanelCode","inv_cov_1","inv_cov_2","inv_cov_3","inv_cov_4","numspp_1","numspp_2","numspp_3","numspp_4"
36,"1",0,0.316666666666667,0.925,4.63333333333333,0,2,7,9
37,"1",87.5,61.25,54.5833333333333,85.2416666666667,1,2,7,10
38,"1",0.125,0.0166666666666667,2.26666666666667,3.81666666666667,1,4,4,4
39,"1",92.9166666666667,92.5416666666667,94.7583333333333,90.3166666666667,2,7,9,9
40,"1",6.89166666666667,20.1083333333333,28.6333333333333,19.8916666666667,4,10,9,10
41,"1",77.375,32.4333333333333,75.8166666666667,72.4083333333333,1,4,8,8
42,"1",61.5833333333333,83.2,46.4083333333333,69.2083333333333,2,5,9,11
76,"2",0,0,0,0.166666666666667,0,0,1,4
77,"2",0,0,0,0.00833333333333333,0,0,0,1
78,"2",61.1,75.3666666666667,41.9333333333333,45.8916666666667,4,4,12,13
79,"2",3.83333333333333,21.2083333333333,14.7,66.45,6,13,11,15
80,"2",56.3333333333333,47,32.1583333333333,47.1083333333333,2,6,8,11
81,"2",1.75833333333333,0.441666666666667,5.86666666666667,7.05,2,3,7,9
82,"2",3.08333333333333,3.1,0.983333333333333,2.39166666666667,3,6,7,7
156,"3",7.30833333333333,1.85833333333333,1.20833333333333,87.325,8,10,11,12
157,"3",0.133333333333333,0,0.133333333333333,0.666666666666667,1,1,3,8
158,"3",50,32.4416666666667,62.8166666666667,81.7833333333333,1,5,7,9
159,"3",52.5833333333333,88.675,74.2666666666667,85.5333333333333,7,10,10,11
160,"3",70.3583333333333,44.425,67.2416666666667,97.75,3,4,8,8
161,"3",0,0,0,0,0,0,0,0
162,"3",0.05,0.383333333333333,8.425,25.875,3,4,5,8
240,"4",0,0,0.00833333333333333,0,0,0,1,1
241,"4",20.075,8.76666666666667,35.4666666666667,31.0666666666667,2,4,4,5
242,"4",0,0.00833333333333333,0,0,0,1,0,1
243,"4",36.8333333333333,50.1666666666667,13.95,23.6,1,1,5,7
244,"4",0.00833333333333333,0.641666666666667,0.0833333333333333,0.266666666666667,4,5,6,12
245,"4",95.6333333333333,96.2833333333333,94.2083333333333,85.4583333333333,4,7,7,9
246,"4",33.7666666666667,15.8833333333333,2.375,24.85,8,10,9,12
